tag,layer,expert,count
prime_check,8,78,415
prime_check,8,79,20
prime_check,8,80,34
prime_check,8,81,1702
prime_check,8,82,449
prime_check,8,84,1250
prime_check,8,86,1144
prime_check,8,87,37
prime_check,8,89,452
prime_check,8,90,1680
prime_check,8,91,208
prime_check,8,92,197
prime_check,8,93,713
prime_check,8,94,608
prime_check,8,95,138
prime_check,8,96,10
prime_check,8,98,645
prime_check,8,99,276
prime_check,8,101,92
prime_check,8,102,22
prime_check,8,103,1139
prime_check,8,104,201
prime_check,8,105,140
prime_check,8,106,80
prime_check,8,107,314
prime_check,8,108,239
prime_check,8,109,41
prime_check,8,110,218
prime_check,8,111,190
prime_check,8,113,105
prime_check,8,114,18
prime_check,8,115,935
prime_check,8,117,3506
prime_check,8,118,130
prime_check,8,119,461
prime_check,8,120,1356
prime_check,8,121,2867
prime_check,8,122,81
prime_check,8,123,1534
prime_check,8,124,38
prime_check,8,125,393
prime_check,8,126,210
prime_check,9,0,5
prime_check,9,1,697
prime_check,9,2,329
prime_check,9,4,5
prime_check,9,5,58
prime_check,9,7,18
prime_check,9,8,305
prime_check,9,9,283
prime_check,9,10,186
prime_check,9,11,24
prime_check,9,12,397
prime_check,9,13,348
prime_check,9,14,804
prime_check,9,15,82
prime_check,9,16,90
prime_check,9,17,7
prime_check,9,18,482
prime_check,9,19,165
prime_check,9,20,1
prime_check,9,21,1105
prime_check,9,22,333
prime_check,9,23,353
prime_check,9,24,165
prime_check,9,25,626
prime_check,9,26,288
prime_check,9,27,3
prime_check,9,28,1653
prime_check,9,29,26
prime_check,9,30,203
prime_check,9,31,416
prime_check,9,32,30
prime_check,9,33,34
prime_check,9,34,18
prime_check,9,36,220
prime_check,9,37,21
prime_check,9,38,152
prime_check,9,39,136
prime_check,9,41,350
prime_check,9,42,236
prime_check,9,43,2
prime_check,9,44,3
prime_check,9,45,18
prime_check,9,46,255
prime_check,9,47,1392
prime_check,9,48,1660
prime_check,9,50,43
prime_check,9,51,1525
prime_check,9,52,126
prime_check,9,53,18
prime_check,9,54,485
prime_check,9,56,3036
prime_check,9,57,839
prime_check,9,61,378
prime_check,9,62,27
prime_check,9,63,1860
prime_check,9,64,1
prime_check,9,65,438
prime_check,9,66,268
prime_check,9,67,1
prime_check,9,69,1784
prime_check,9,70,31
prime_check,9,71,107
prime_check,9,72,1241
prime_check,9,73,12
prime_check,9,74,1
prime_check,9,75,18
prime_check,9,76,15
prime_check,9,77,190
prime_check,9,78,566
prime_check,9,79,566
prime_check,9,81,1
prime_check,9,82,364
prime_check,9,83,2
prime_check,9,84,264
prime_check,9,85,245
prime_check,9,86,1
prime_check,9,87,203
prime_check,9,88,116
prime_check,9,89,911
prime_check,9,90,4
prime_check,9,91,406
prime_check,9,92,18
prime_check,9,93,54
prime_check,9,94,40
prime_check,9,95,627
prime_check,9,96,180
prime_check,9,97,172
prime_check,9,98,669
prime_check,9,100,356
prime_check,9,101,46
prime_check,9,102,75
prime_check,9,103,2230
prime_check,9,104,141
prime_check,9,105,243
prime_check,9,106,2285
prime_check,9,108,128
prime_check,9,111,22
prime_check,9,112,92
prime_check,9,114,684
prime_check,9,115,231
prime_check,9,116,7
prime_check,9,117,324
prime_check,9,120,236
prime_check,9,121,109
prime_check,9,122,432
prime_check,9,123,188
prime_check,9,124,250
prime_check,9,125,232
prime_check,9,126,10
prime_check,9,127,18
prime_check,10,1,7
prime_check,10,3,257
prime_check,10,4,502
prime_check,10,6,2168
prime_check,10,7,482
prime_check,10,8,1697
prime_check,10,9,36
prime_check,10,10,246
prime_check,10,11,2947
prime_check,10,13,67
prime_check,10,14,509
prime_check,10,18,129
prime_check,10,20,228
prime_check,10,21,18
prime_check,10,22,157
prime_check,10,23,1
prime_check,10,26,54
prime_check,10,27,18
prime_check,10,28,45
prime_check,10,29,26
prime_check,10,31,311
prime_check,10,33,984
prime_check,10,38,36
prime_check,10,39,2711
prime_check,10,40,102
prime_check,10,41,102
prime_check,10,42,128
prime_check,10,44,3
prime_check,10,45,112
prime_check,10,46,312
prime_check,10,47,94
prime_check,10,49,18
prime_check,10,51,194
prime_check,10,53,701
prime_check,10,56,82
prime_check,10,57,1190
prime_check,10,58,138
prime_check,10,59,2
prime_check,10,60,878
prime_check,10,61,1
prime_check,10,62,139
prime_check,10,63,19
prime_check,10,64,129
prime_check,10,66,3025
prime_check,10,67,18
prime_check,10,68,201
prime_check,10,69,110
prime_check,10,70,154
prime_check,10,71,1
prime_check,10,72,45
prime_check,10,73,10
prime_check,10,74,36
prime_check,10,75,270
prime_check,10,77,11
prime_check,10,79,372
prime_check,10,80,1313
prime_check,10,81,1944
prime_check,10,82,3021
prime_check,10,83,7
prime_check,10,84,18
prime_check,10,85,1803
prime_check,10,86,18
prime_check,10,88,206
prime_check,10,91,98
prime_check,10,92,149
prime_check,10,93,282
prime_check,10,94,43
prime_check,10,99,20
prime_check,10,100,189
prime_check,10,103,409
prime_check,10,104,42
prime_check,10,105,18
prime_check,10,106,157
prime_check,10,108,249
prime_check,10,110,1212
prime_check,10,112,158
prime_check,10,113,18
prime_check,10,115,2596
prime_check,10,118,5
prime_check,10,119,56
prime_check,10,120,167
prime_check,10,121,303
